Day,Month,Year,Country,State,TempMax,TempAvg,TempMin,HumMax,HumAvg,HumMin,Wind_Speed_Max,Wind_Speed_Avg,Wind_Speed_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Total_Precipitations
1,December,2019,Senegal,Dakar,82,75.1,72,94,82.9,66,18,13.8,9,29.9,29.8,29.8,0
2,December,2019,Senegal,Dakar,81,75.3,72,100,84.8,69,12,8.8,7,29.9,29.8,29.8,0
3,December,2019,Senegal,Dakar,99,75.7,72,100,79.1,25,16,12.6,5,29.8,29.8,29.8,0
4,December,2019,Senegal,Dakar,79,75,73,88,74.4,61,18,15.1,12,29.9,29.8,29.8,0
5,December,2019,Senegal,Dakar,79,74,72,83,69.8,51,18,15.3,7,29.8,29.8,29.8,0
6,December,2019,Senegal,Dakar,77,73,70,73,66,57,21,17.5,14,29.9,29.8,29.8,0
7,December,2019,Senegal,Dakar,79,73.9,72,78,66.4,47,16,13.1,9,29.9,29.8,29.8,0
8,December,2019,Senegal,Dakar,81,74.3,72,88,68.2,50,12,9.9,0,29.9,29.8,29.8,0
9,December,2019,Senegal,Dakar,77,73.7,72,88,73.5,50,16,10.7,7,29.9,29.8,29.8,0
10,December,2019,Senegal,Dakar,79,74.5,72,88,69,44,14,10.3,5,29.8,29.8,29.7,0
11,December,2019,Senegal,Dakar,81,75,72,88,61,38,12,8.4,5,29.8,29.8,29.7,0
12,December,2019,Senegal,Dakar,81,74.4,70,83,62.9,39,12,7.7,5,29.8,29.8,29.8,0
13,December,2019,Senegal,Dakar,86,75.1,68,94,63.2,31,108,13.7,5,29.8,29.8,29.8,0
14,December,2019,Senegal,Dakar,82,73.9,68,94,72.5,36,7,4.7,0,29.8,29.8,29.8,0
15,December,2019,Senegal,Dakar,81,74.5,70,100,84.2,61,12,6.4,0,29.8,29.8,29.7,0
16,December,2019,Senegal,Dakar,79,73.8,70,94,77.5,65,18,15.6,9,29.8,29.8,29.8,0
17,December,2019,Senegal,Dakar,77,72.9,70,88,74,54,18,16.3,14,29.8,29.8,29.7,0
18,December,2019,Senegal,Dakar,79,73.2,70,88,70.5,41,14,9,5,29.9,29.8,29.8,0
19,December,2019,Senegal,Dakar,79,74.7,70,83,67.2,51,14,7.3,5,29.9,29.8,29.8,0
20,December,2019,Senegal,Dakar,79,73.1,63,88,68.4,44,14,8.6,5,29.9,29.8,29.8,0
21,December,2019,Senegal,Dakar,81,74.4,70,78,64.4,36,16,10.3,5,29.9,29.8,29.8,0
22,December,2019,Senegal,Dakar,82,74.8,70,83,58.7,41,14,6.7,5,29.8,29.8,29.8,0
23,December,2019,Senegal,Dakar,86,75.9,70,89,69.4,40,7,4.8,2,29.9,29.8,29.8,0
24,December,2019,Senegal,Dakar,84,75.8,70,88,64.9,33,12,5,0,29.8,29.8,29.7,0
25,December,2019,Senegal,Dakar,84,75.7,70,88,66.3,37,7,5.8,0,29.8,29.8,29.8,0
26,December,2019,Senegal,Dakar,82,75.3,68,94,67.6,48,7,6.8,5,29.8,29.8,29.8,0
27,December,2019,Senegal,Dakar,81,74.8,70,88,71.2,54,14,10.5,7,29.8,29.8,29.7,0
28,December,2019,Senegal,Dakar,81,75.3,70,88,72.8,54,14,7.7,5,29.8,29.8,29.7,0
29,December,2019,Senegal,Dakar,91,75.7,66,88,61.9,18,9,6.6,5,29.8,29.8,29.7,0
30,December,2019,Senegal,Dakar,90,80.2,72,83,48.2,19,14,8.8,5,29.8,29.8,29.7,0
31,December,2019,Senegal,Dakar,88,78,72,73,45.5,15,14,10.3,2,29.8,29.8,29.7,0
1,January,2020,Senegal,Dakar,84,76.3,70,65,42.3,14,14,9.6,5,29.9,29.8,29.8,0
2,January,2020,Senegal,Dakar,81,74.4,70,69,40.5,20,16,10.8,5,29.9,29.8,29.8,0
3,January,2020,Senegal,Dakar,81,75.7,72,50,39.1,23,21,14.4,9,29.9,29.9,29.8,0
4,January,2020,Senegal,Dakar,82,74.8,70,69,41,20,18,13.5,9,29.9,29.9,29.8,0
5,January,2020,Senegal,Dakar,75,72.5,68,83,56.3,41,21,15.4,12,29.9,29.9,29.8,0
6,January,2020,Senegal,Dakar,77,71.5,68,68,52.1,35,21,16.7,9,29.9,29.9,29.8,0
7,January,2020,Senegal,Dakar,75,70.7,68,68,47.5,35,21,14.8,9,29.9,29.9,29.8,0
8,January,2020,Senegal,Dakar,73,69.6,64,68,46.1,31,20,18,12,29.9,29.9,29.8,0
9,January,2020,Senegal,Dakar,73,69.2,61,73,51.5,31,22,19.6,18,30,29.9,29.8,0
10,January,2020,Senegal,Dakar,73,67.8,64,78,55.8,35,26,15.4,12,30,29.9,29.8,0
11,January,2020,Senegal,Dakar,72,67.8,63,83,64.4,49,18,13.4,2,30,29.9,29.8,0
12,January,2020,Senegal,Dakar,77,69.1,64,88,64.3,36,18,10.6,0,30,29.9,29.8,0
13,January,2020,Senegal,Dakar,79,69.9,64,83,61.1,36,16,12.8,9,29.9,29.8,29.8,0
14,January,2020,Senegal,Dakar,75,70,64,78,58.3,46,16,12.2,5,29.9,29.8,29.8,0
15,January,2020,Senegal,Dakar,81,71.1,66,83,59.2,34,12,7.3,2,29.9,29.8,29.8,0
16,January,2020,Senegal,Dakar,90,71.8,68,83,60.6,11,16,13.7,2,29.9,29.9,29.8,0
