Day,Month,Year,Country,State,TempMax,TempAvg,TempMin,HumMax,HumAvg,HumMin,Wind_Speed_Max,Wind_Speed_Avg,Wind_Speed_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Total_Precipitations
1,December,2019,Spain,Madrid,48,45.8,43,100,95.1,93,8,3.7,0,27.9,27.8,27.7,0
2,December,2019,Spain,Madrid,52,46.8,41,87,70.5,54,14,9,5,27.9,27.9,27.8,0
3,December,2019,Spain,Madrid,50,42.9,36,81,71.7,58,9,6,1,27.9,27.9,27.8,0
4,December,2019,Spain,Madrid,54,46.9,41,93,79.3,67,13,5.8,1,27.8,27.7,27.6,0
5,December,2019,Spain,Madrid,55,49.3,46,81,69.9,58,12,6.8,1,28.1,27.9,27.8,0
6,December,2019,Spain,Madrid,57,47.7,39,93,77.8,55,7,3,0,28.1,28.1,28.1,0
7,December,2019,Spain,Madrid,55,43.4,34,100,85.1,58,6,2.5,0,28.2,28.1,28.1,0
8,December,2019,Spain,Madrid,45,40.7,36,100,97.8,93,5,1.6,0,28.2,28.2,28.1,0
9,December,2019,Spain,Madrid,52,44.3,37,100,92.9,71,8,3,0,28.3,28.2,28.2,0
10,December,2019,Spain,Madrid,43,38.3,34,100,98.1,87,6,2.3,0,28.3,28.2,28.1,0
11,December,2019,Spain,Madrid,48,41,34,100,88.4,57,17,5.2,0,28.2,28.1,28.1,0
12,December,2019,Spain,Madrid,50,45.7,41,87,76.2,61,22,13.4,7,28.1,28,27.8,0
13,December,2019,Spain,Madrid,61,56.2,50,94,66.6,55,35,19.5,7,27.9,27.8,27.7,0
14,December,2019,Spain,Madrid,54,46.5,37,100,86.9,67,16,7.7,1,28,28,27.9,0
15,December,2019,Spain,Madrid,54,46.5,39,100,87.1,67,10,3.9,0,27.9,27.9,27.8,0
16,December,2019,Spain,Madrid,59,50.3,45,87,66.4,39,18,8.8,3,27.8,27.6,27.4,0
17,December,2019,Spain,Madrid,54,49.4,45,93,80,67,9,5.4,0,27.8,27.6,27.4,0
18,December,2019,Spain,Madrid,48,44.3,39,93,80.8,66,8,5,2,28,27.9,27.8,0
19,December,2019,Spain,Madrid,55,51.4,45,100,89.8,77,25,13.5,0,27.9,27.7,27.4,0
20,December,2019,Spain,Madrid,57,55.4,52,100,85.7,67,29,18.4,8,27.5,27.4,27.4,0
21,December,2019,Spain,Madrid,63,57.6,54,100,80.5,59,35,20.3,7,27.7,27.6,27.5,0
22,December,2019,Spain,Madrid,57,53.5,50,82,73.6,54,28,18,10,28.1,27.9,27.7,0
23,December,2019,Spain,Madrid,57,48.2,41,93,74.1,54,15,5.4,0,28.3,28.2,28.1,0
24,December,2019,Spain,Madrid,57,44.1,37,100,87,63,5,2,0,28.3,28.3,28.2,0
25,December,2019,Spain,Madrid,63,46,36,100,87.1,55,5,2.1,0,28.2,28.2,28.1,0
26,December,2019,Spain,Madrid,63,46,36,100,85.1,55,8,2.6,0,28.3,28.2,28.2,0
27,December,2019,Spain,Madrid,57,41.3,30,100,79.8,54,7,3,1,28.3,28.3,28.2,0
28,December,2019,Spain,Madrid,59,39.7,28,100,71.5,25,5,2.1,0,28.3,28.3,28.2,0
29,December,2019,Spain,Madrid,57,38.8,27,93,74.7,38,5,1.7,0,28.3,28.3,28.3,0
30,December,2019,Spain,Madrid,55,38.8,28,100,80.5,47,5,1.9,0,28.4,28.3,28.3,0
31,December,2019,Spain,Madrid,54,39,28,100,85.1,58,6,2.1,0,28.4,28.3,28.3,0
1,January,2020,Spain,Madrid,54,38,28,100,84.7,54,5,2.1,1,28.4,28.3,28.3,0
2,January,2020,Spain,Madrid,55,37.6,27,100,83.8,51,5,1.8,0,28.3,28.3,28.3,0
3,January,2020,Spain,Madrid,39,35.1,28,100,95.6,93,5,1.7,0,28.4,28.3,28.3,0
4,January,2020,Spain,Madrid,54,39.2,28,100,82,54,13,3.6,0,28.4,28.4,28.3,0
5,January,2020,Spain,Madrid,54,38,27,93,78.9,50,6,2.5,0,28.3,28.3,28.2,0
6,January,2020,Spain,Madrid,55,38.4,27,93,78.4,47,5,2.3,0,28.3,28.2,28.2,0
7,January,2020,Spain,Madrid,57,38.6,27,100,74.5,38,5,2.1,0,28.3,28.3,28.3,0
8,January,2020,Spain,Madrid,61,40.6,28,93,69.2,25,5,1.8,0,28.3,28.3,28.2,0
9,January,2020,Spain,Madrid,55,42.2,30,93,75.6,51,8,3.7,0,28.3,28.2,28.1,0
10,January,2020,Spain,Madrid,54,42.5,32,100,72.2,44,13,5.5,0,28.3,28.2,28.1,0
11,January,2020,Spain,Madrid,52,38.3,27,93,70.5,41,7,3.3,0,28.4,28.3,28.3,0
12,January,2020,Spain,Madrid,50,34.1,23,93,72.7,43,5,2,0,28.3,28.3,28.2,0
13,January,2020,Spain,Madrid,46,33.2,23,93,80.2,57,9,3.1,0,28.3,28.2,28.1,0
14,January,2020,Spain,Madrid,48,34.1,23,93,82.2,57,7,3,1,28.1,28.1,28,0
15,January,2020,Spain,Madrid,48,40.8,32,100,84.7,71,6,2.3,0,28.2,28.1,28.1,0
16,January,2020,Spain,Madrid,57,46.8,41,100,84.2,62,7,2.6,0,28.2,28.2,28.1,0
17,January,2020,Spain,Madrid,55,47.2,39,93,77.3,58,15,6,0,28.3,28.3,28.2,0
18,January,2020,Spain,Madrid,48,43.2,37,100,90.3,81,10,3.8,0,28.3,28.2,28,0
19,January,2020,Spain,Madrid,52,43.8,37,100,57.7,19,24,11.5,1,28.1,28,28,0
20,January,2020,Spain,Madrid,43,39.8,36,61,42.7,29,16,10.8,5,28.1,28.1,28,0
21,January,2020,Spain,Madrid,46,42.1,39,87,69.2,57,16,11.6,6,28.1,28,27.9,0
22,January,2020,Spain,Madrid,52,44.6,39,87,73.3,58,13,6.7,1,28,27.9,27.9,0
