Day,Month,Year,Country,State,TempMax,TempAvg,TempMin,HumMax,HumAvg,HumMin,Wind_Speed_Max,Wind_Speed_Avg,Wind_Speed_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Total_Precipitations
1,December,2019,Italy,Lombardia,46,45.5,45,100,93.3,87,8,3.1,1,29.8,29.7,29.6,0
2,December,2019,Italy,Lombardia,50,45.7,43,100,89.4,71,7,4.5,1,29.8,29.6,29.6,0
3,December,2019,Italy,Lombardia,52,47.4,45,87,74.6,62,9,4.8,2,30,29.9,29.8,0
4,December,2019,Italy,Lombardia,46,41.4,36,93,70,53,7,2.7,0,30,29.9,29.9,0
5,December,2019,Italy,Lombardia,46,37.6,32,100,88.8,62,5,1.8,0,29.9,29.9,29.9,0
6,December,2019,Italy,Lombardia,45,37.4,30,100,89.3,76,6,2.2,0,29.9,29.9,29.8,0
7,December,2019,Italy,Lombardia,50,42.6,36,100,82.3,62,7,3.5,1,29.8,29.7,29.6,0
8,December,2019,Italy,Lombardia,50,42.6,36,100,87.5,71,6,2.9,0,29.8,29.7,29.6,0
9,December,2019,Italy,Lombardia,50,44.4,39,100,91.1,71,6,2.4,1,29.6,29.4,29.3,0
10,December,2019,Italy,Lombardia,57,48.8,36,100,46.5,17,23,9.1,1,29.8,29.6,29.4,0
11,December,2019,Italy,Lombardia,45,38.6,32,87,71.3,53,7,2.9,1,29.8,29.6,29.4,0
12,December,2019,Italy,Lombardia,41,37.2,34,93,87.4,75,7,3.5,1,29.4,29.3,29.2,0
13,December,2019,Italy,Lombardia,39,35.2,32,100,92.6,87,14,5.7,1,29.2,28.9,28.8,0
14,December,2019,Italy,Lombardia,50,39.5,32,93,81.1,58,12,4.6,1,29.4,29.2,29,0
15,December,2019,Italy,Lombardia,45,40.5,34,100,89.9,76,7,2.6,1,29.7,29.6,29.4,0
16,December,2019,Italy,Lombardia,46,44.5,43,100,97.8,93,5,2,1,29.8,29.8,29.7,0
17,December,2019,Italy,Lombardia,48,46.3,45,100,95.1,87,6,2.4,0,29.8,29.7,29.7,0
18,December,2019,Italy,Lombardia,50,48.3,46,100,95.1,93,5,1.9,1,29.9,29.8,29.8,0
19,December,2019,Italy,Lombardia,54,50.9,48,100,97.2,94,7,3.4,1,29.9,29.7,29.6,0
20,December,2019,Italy,Lombardia,52,50.3,48,100,93.8,88,24,9.9,1,29.6,29.3,29.1,0
21,December,2019,Italy,Lombardia,52,48.5,43,100,95.3,87,10,4.7,1,29.1,29,28.9,0
22,December,2019,Italy,Lombardia,54,48.5,45,100,84.4,71,12,6.5,1,29,28.9,28.8,0
23,December,2019,Italy,Lombardia,59,50,41,87,57.5,31,13,8.3,5,29.6,29.3,29,0
24,December,2019,Italy,Lombardia,55,47.5,39,81,59.2,38,13,4.8,1,29.6,29.6,29.5,0
25,December,2019,Italy,Lombardia,61,46.2,34,93,60.5,30,9,4.3,1,29.7,29.6,29.6,0
