Day,Month,Year,Country,State,TempMax,TempAvg,TempMin,HumMax,HumAvg,HumMin,Wind_Speed_Max,Wind_Speed_Avg,Wind_Speed_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Total_Precipitations
1,December,2019,USA,New York,40,35.2,30,93,75.7,42,31,18.2,7,30,29.8,29.5,0
2,December,2019,USA,New York,39,35.7,32,89,86.1,82,28,17.7,9,29.5,29.5,29.5,0.62
3,December,2019,USA,New York,38,33.9,32,85,69.7,54,29,18.3,10,29.6,29.5,29.5,0.34
4,December,2019,USA,New York,40,38.1,34,76,68.4,63,16,10.7,6,29.6,29.5,29.5,0
5,December,2019,USA,New York,43,39.9,38,76,57.5,40,24,16,9,30.1,29.8,29.5,0
6,December,2019,USA,New York,50,42.5,36,53,48.1,38,22,13.5,5,30.1,30.1,29.9,0
7,December,2019,USA,New York,38,35.7,32,57,48.5,38,21,14.2,8,30.5,30.3,30.1,0
8,December,2019,USA,New York,44,36.7,28,68,56.2,43,16,7.3,0,30.5,30.4,30.3,0
9,December,2019,USA,New York,56,47.8,41,93,88.2,73,21,8.7,0,30.3,30.1,29.7,0.17
10,December,2019,USA,New York,58,54.2,40,88,77.5,57,17,13.1,5,30.1,29.8,29.7,1.63
11,December,2019,USA,New York,40,35.2,32,92,76,42,24,10.8,3,30.5,30.2,30.1,0.43
12,December,2019,USA,New York,36,32.2,28,61,42.5,28,20,9.2,3,30.7,30.6,30.5,0.03
13,December,2019,USA,New York,47,42.6,33,93,83.1,64,21,12.8,5,30.6,30.2,29.9,0
14,December,2019,USA,New York,55,50.4,46,100,90,61,23,10.5,0,29.8,29.4,29.2,2.05
15,December,2019,USA,New York,48,43.9,38,60,48.9,35,31,20.5,13,30.1,29.8,29.4,0.09
16,December,2019,USA,New York,37,35.7,34,75,50.8,42,16,7.6,3,30.3,30.2,30.1,0
17,December,2019,USA,New York,36,34.4,33,89,83.5,76,22,14.5,6,30.1,29.8,29.6,0.5
18,December,2019,USA,New York,37,31.8,24,79,66,55,26,18.5,12,30.1,29.9,29.7,0.48
