Day,Month,Year,Country,State,TempMax,TempAvg,TempMin,HumMax,HumAvg,HumMin,Wind_Speed_Max,Wind_Speed_Avg,Wind_Speed_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Total_Precipitations
1,December,2019,Canada,Quebec,18,8.2,1,92,80.3,63,10,4.6,0,29.9,29.8,29.7,0
2,December,2019,Canada,Quebec,25,20.4,14,86,78.4,68,16,11,6,29.7,29.7,29.6,0
3,December,2019,Canada,Quebec,28,19.9,10,93,76,63,9,4.3,0,29.6,29.4,29.2,0
4,December,2019,Canada,Quebec,25,18.1,9,100,84.1,69,12,5.2,0,29.2,29.2,29.1,0
5,December,2019,Canada,Quebec,30,26.5,21,100,83,74,15,7.8,0,29.5,29.3,29.2,0
6,December,2019,Canada,Quebec,25,22,18,93,80.5,68,17,11.8,5,29.8,29.7,29.5,0
7,December,2019,Canada,Quebec,19,14.8,10,79,69.5,62,13,8.4,3,30.1,30,29.8,0
8,December,2019,Canada,Quebec,25,17.9,10,93,83.3,63,14,5.2,0,30.1,30,29.8,0
9,December,2019,Canada,Quebec,36,31.8,25,100,96.1,80,17,6.2,0,29.8,29.6,29.1,0
10,December,2019,Canada,Quebec,45,37.8,19,100,83.8,55,22,12.8,0,29.8,29.3,29.1,0
11,December,2019,Canada,Quebec,18,15.3,9,93,72.3,58,14,5.3,0,30,29.9,29.8,0
12,December,2019,Canada,Quebec,16,10.8,5,85,64.5,52,20,8.5,0,30.3,30.2,29.9,0
13,December,2019,Canada,Quebec,27,20.3,12,86,81.4,69,12,7.8,3,30.3,30.1,29.9,0
14,December,2019,Canada,Quebec,37,33.3,25,100,96.8,80,30,19.9,8,29.9,29.2,28.6,0
15,December,2019,Canada,Quebec,37,28.9,12,100,86.1,62,30,19.8,3,29.6,28.9,28.6,0
16,December,2019,Canada,Quebec,16,11.2,5,79,67.8,57,25,15.2,8,29.9,29.8,29.6,0
17,December,2019,Canada,Quebec,25,20.1,16,93,83.6,79,10,5.9,0,29.8,29.7,29.5,0
18,December,2019,Canada,Quebec,21,19.7,18,93,86.7,63,8,4.8,2,29.5,29.4,29.4,0
19,December,2019,Canada,Quebec,16,8,3,79,67.6,61,23,17.9,9,29.9,29.7,29.5,0
20,December,2019,Canada,Quebec,18,10.8,7,85,73.9,62,17,13.7,8,30.4,30.2,30,0
21,December,2019,Canada,Quebec,12,8.9,3,85,82.4,73,8,3.5,0,30.4,30.3,30.1,0
22,December,2019,Canada,Quebec,25,17.9,3,93,87.1,85,17,4.2,0,30.1,29.9,29.7,0
23,December,2019,Canada,Quebec,37,30.8,25,100,88.2,65,20,6.8,0,29.8,29.6,29.4,0
24,December,2019,Canada,Quebec,30,22.6,10,85,66.2,54,16,9.7,2,30,29.9,29.6,0
25,December,2019,Canada,Quebec,21,14.6,7,93,83.4,73,6,2.8,0,30,30,30,0
26,December,2019,Canada,Quebec,19,14.9,9,86,75.3,63,14,7.5,2,30.2,30.2,30.1,0
27,December,2019,Canada,Quebec,32,25,19,100,88.8,74,18,9.8,0,30,29.8,29.6,0
