Day,Month,Year,Country,State,TempMax,TempAvg,TempMin,HumMax,HumAvg,HumMin,Wind_Speed_Max,Wind_Speed_Avg,Wind_Speed_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Total_Precipitations
1,December,2019,Sweden,Stockholm,30,28.6,25,93,84.8,80,12,8.1,5,29.9,29.8,29.7,0
2,December,2019,Sweden,Stockholm,28,26.7,23,100,84.6,74,12,6.8,3,29.9,29.8,29.7,0
3,December,2019,Sweden,Stockholm,37,30.3,25,100,92.1,80,10,6.7,3,29.9,29.8,29.6,0
4,December,2019,Sweden,Stockholm,41,38.1,36,100,95.2,87,14,8.5,3,29.7,29.7,29.6,0
5,December,2019,Sweden,Stockholm,46,43.5,39,93,80.2,66,17,13.5,8,29.6,29.5,29.3,0
6,December,2019,Sweden,Stockholm,46,43.4,41,100,92.9,76,15,9.8,3,29.3,29.1,29,0
7,December,2019,Sweden,Stockholm,45,40.1,34,100,95.3,87,17,10.4,5,29.3,29.1,28.9,0
8,December,2019,Sweden,Stockholm,45,37.5,30,100,93.4,81,17,10.3,5,29.3,29,28.7,0
9,December,2019,Sweden,Stockholm,45,41.2,32,100,83.5,76,15,11.1,6,29.4,29,28.7,0
10,December,2019,Sweden,Stockholm,32,25.8,19,100,94.6,86,12,6.3,0,29.9,29.8,29.4,0
11,December,2019,Sweden,Stockholm,39,38.1,32,93,87.9,75,20,11.2,5,29.8,29.6,29.5,0
12,December,2019,Sweden,Stockholm,39,37.5,36,100,96.1,93,12,6.9,3,29.6,29.4,29.3,0
13,December,2019,Sweden,Stockholm,39,37.9,34,100,92.3,87,15,8.8,5,29.4,29.3,29.2,0
14,December,2019,Sweden,Stockholm,41,38.7,37,100,93.7,87,15,10.7,6,29.2,29.1,29.1,0
15,December,2019,Sweden,Stockholm,41,38.5,36,100,96.7,93,8,5.3,3,29.1,29.1,29.1,0
16,December,2019,Sweden,Stockholm,41,38.1,36,100,94.7,87,12,8.9,3,29.5,29.4,29.1,0
17,December,2019,Sweden,Stockholm,41,38.7,37,100,94.9,87,12,5.5,1,29.6,29.5,29.4,0
18,December,2019,Sweden,Stockholm,39,36.1,32,100,95.2,87,21,11.3,3,29.8,29.4,29.1,0
19,December,2019,Sweden,Stockholm,41,31.4,25,100,97.3,87,14,5.1,1,30,29.9,29.8,0
20,December,2019,Sweden,Stockholm,43,41.3,41,100,98.6,87,15,9.7,6,29.8,29.6,29.3,0
21,December,2019,Sweden,Stockholm,43,42.1,41,100,98.7,93,14,7.8,1,29.3,29.2,29.1,0
22,December,2019,Sweden,Stockholm,43,40.8,39,100,96.7,87,8,4.4,0,29.4,29.2,29.1,0
23,December,2019,Sweden,Stockholm,39,36.8,34,100,98.5,93,3,0.8,0,29.6,29.5,29.4,0
24,December,2019,Sweden,Stockholm,39,36.3,34,100,99.1,93,5,0.7,0,29.6,29.6,29.6,0
25,December,2019,Sweden,Stockholm,39,37,36,100,99.4,93,6,2.3,0,29.9,29.8,29.6,0
26,December,2019,Sweden,Stockholm,36,33.1,32,100,94,93,10,6.7,3,30.2,30,29.9,0
27,December,2019,Sweden,Stockholm,32,30,27,100,86,69,13,9.8,6,30.6,30.4,30.2,0
28,December,2019,Sweden,Stockholm,30,26.2,21,100,94.5,86,10,4.5,0,30.7,30.6,30.4,0
29,December,2019,Sweden,Stockholm,45,36.6,30,100,91.5,81,18,12.5,7,30.4,30.1,29.8,0
